EstablishmentID,EstablishmentNumber,EstablishmentName,State,ProjectCode,ProjectName,FormID,CollectionDate,SampleSource,SalmonellaSPAnalysis,SalmonellaSerotype,SalmonellaPFGEPattern,SalmonellaAlleleCode,SalmonellaFSISNumber,SalmonellaAMRResistanceProfile,CampylobacterAnalysis1ml,CampylobacterAnalysis30ml,CampylobacterSpecies,CampylobacterPFGEPattern,CampylobacterAlleleCode,CampyFSISNumber,CampyAMRResistanceProfile,Weekday,Longitude,Latitude,WeatherDate_Day0,MaxTemp_Day0,MinTemp_Day0,AverageTemp_Day0,Precipitation_Day0,Humidity_Day0,PrecipType_Day0,Snow_Day0,SnowDepth_Day0,WindGust_Day0,WindSpeed_Day0,WindDirection_Day0,Pressure_Day0,CloudCover_Day0,Visibility_Day0,Solar Radiation_Day0,DEW_Day0,WeatherDate_Day1,MaxTemp_Day1,MinTemp_Day1,AverageTemp_Day1,Precipitation_Day1,Humidity_Day1,PrecipType_Day1,Snow_Day1,SnowDepth_Day1,WindGust_Day1,WindSpeed_Day1,WindDirection_Day1,Pressure_Day1,CloudCover_Day1,Visibility_Day1,Solar Radiation_Day1,DEW_Day1,WeatherDate_Day2,MaxTemp_Day2,MinTemp_Day2,AverageTemp_Day2,Precipitation_Day2,Humidity_Day2,PrecipType_Day2,Snow_Day2,SnowDepth_Day2,WindGust_Day2,WindSpeed_Day2,WindDirection_Day2,Pressure_Day2,CloudCover_Day2,Visibility_Day2,Solar Radiation_Day2,DEW_Day2,WeatherDate_Day3,MaxTemp_Day3,MinTemp_Day3,AverageTemp_Day3,Precipitation_Day3,Humidity_Day3,PrecipType_Day3,Snow_Day3,SnowDepth_Day3,WindGust_Day3,WindSpeed_Day3,WindDirection_Day3,Pressure_Day3,CloudCover_Day3,Visibility_Day3,Solar Radiation_Day3,DEW_Day3,Numerical_Weekday
2526,P1241,"Tyson Foods, Inc.",IN,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103054419,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-76.2999535,40.7380319,2022-10-03,51.6,46.8,49.1,0.053,70.8,rain,0,0,29.3,8.2,9.5,1023.9,51.5,9.9,36.7,40,2022-10-02,56.1,51,54.4,0.201,80.6,rain,0,0,28.6,9.4,20.2,1019,84.9,9.4,30,48.5,2022-10-01,60.2,51.3,55.1,0.326,82.8,rain,0,0,27.3,10.1,29.4,1016.8,95.9,9,78.6,49.9,2022-09-30,60.5,43,51.5,0,72.3,,0,0,17.2,6.2,23,1025.5,11.1,9.9,122.8,42.5,1
3356,M4653A+P4653A+V4653A,"Agri Star Meat and Poultry,
LLC",IA,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103059506,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-91.581162,43.087656,2022-10-03,70.1,50,58.1,0,69.9,,0,0,14.1,5.2,113.4,1026.3,17.4,9.9,90.8,46.6,2022-10-02,70.5,50.9,59.7,0,73.4,,0,0,13.9,7.1,86.5,1027.1,29,9.9,109.5,49.9,2022-10-01,65.2,46.7,56.1,0,76.8,,0,0,15.2,6,51.2,1024,33.8,9.7,82.8,48,2022-09-30,68.4,39.8,53.7,0,64.6,,0,0,16.1,7.4,128,1023.8,22.5,9.8,122.5,40,1
3543,P727+V727,"Simmons Prepared Foods,
Inc.",MO,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103057881,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Positive,C. jejuni,,"FSIS_Camp - 199.217.3669.5538.7799 |
03/29/2023",FSIS12216450,Pan-Susceptible,Monday,-94.6001945,36.5424435,2022-10-03,82.9,47.3,64.2,0,56.9,,0,0,10.7,4.8,52.2,1023.1,0,9.8,161.3,45.6,2022-10-02,82.1,43.9,62.2,0,55.2,,0,0,11.9,8.2,69,1023.4,0,9.9,164.8,42.4,2022-10-01,78.7,43.5,60.1,0,58,,0,0,14.5,6.7,35.1,1019.8,0,9.9,158.5,42.5,2022-09-30,78.1,41.8,59,0,55,,0,0,18.3,6.8,75.5,1020.8,0.1,9.8,167.2,39.7,1
3680,M7089+P7089,Tyson Foods Inc,MO,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103056577,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-93.3228382,38.7502656,2022-10-03,79.9,47.7,63.3,0,56.9,,0,0,14.5,8.6,101.5,1024,0.3,9.9,213.2,46.2,2022-10-02,79.6,46.3,62.8,0,53.3,,0,0,16.1,9.2,59.4,1024.4,0,9.9,215.9,42.6,2022-10-01,77.9,43.4,60.5,0,54.7,,0,0,17.2,8.8,71.1,1021,0,9.9,220.4,41.6,2022-09-30,74.1,42.2,58.1,0,57.1,,0,0,16.1,9.8,107.4,1021.8,0,9.9,225.9,41,1
3752,P13369+V13369,"George's Processing, Inc.",MO,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103054709,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-93.9202005,36.7454393,2022-10-03,79,52.3,65.6,0,50.8,,0,0,13.4,8.6,98.2,1023.6,0.1,9.9,181.9,45.4,2022-10-02,79.1,47.1,63.7,0,46.6,,0,0,10.7,8.2,91.6,1023.8,0.3,9.9,186.9,41.2,2022-10-01,76.9,49.4,62.1,0,49.8,,0,0,14.3,7.9,77.9,1020.2,0,9.9,177.1,40.9,2022-09-30,73.6,44.6,59.3,0,53,,0,0,14.8,8.7,98.9,1021,0,9.9,191.6,39.6,1
3833,P165H,Bachoco OK Foods,OK,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103054654,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-97.6414332,35.4341981,2022-10-03,83.1,51.8,68.2,0,39.6,,0,0,22.1,11.6,163.4,1021,5.2,9.9,217.4,40.8,2022-10-02,84.8,53.8,69,0,36.6,,0,0,14.8,10.8,89,1021,4.2,9.9,224.2,39.4,2022-10-01,82.5,52.8,68.2,0,38.9,,0,0,15,8.8,139.8,1017.4,15.9,9.9,224.8,40.2,2022-09-30,81,54.4,67.1,0,46.3,,0,0,23.9,15.5,151.2,1017.8,20.8,9.9,215.5,44.3,1
3852,P468,"Peco Foods, Inc.",AR,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103053295,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-91.6484427,35.7645792,2022-10-03,80,50.8,63.7,0,58.6,,0,0,18.3,8.1,16,1023.1,0,9.9,207.3,46.9,2022-10-02,81,47.6,63.2,0,56.6,,0,0,19.7,8.1,346.5,1022.6,0,9.9,214.8,45.4,2022-10-01,79,45.9,60.8,0,59.4,,0,0,17.2,9.2,346.8,1019.2,0,9.9,222.6,43.7,2022-09-30,75.9,43.8,59.1,0,62.1,,0,0,21.9,8.1,7.4,1020.7,0,9.7,221.9,43.9,1
3858,P1009,Wayne Farms LLC,AR,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103052707,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-93.3712135,35.0574571,2022-10-03,84.7,47.4,65.5,0,57.4,,0,0,17.2,7.1,72.7,1021.4,0,9.9,208,47.3,2022-10-02,85.6,44.5,63.8,0,53.9,,0,0,10.5,7.2,79,1021.3,0,9.9,217.8,42.9,2022-10-01,82.9,43.6,61.7,0,55.2,,0,0,17.2,8.1,40.1,1018,0,9.9,219,41.6,2022-09-30,81.5,42.8,60.7,0,54.8,,0,0,11.6,5.6,41.5,1019.1,0,9.9,223.2,40.9,1
3879,P7085+V7085,"Tyson Foods, Inc",OK,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103059564,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Positive,Kentucky,,"SALM1.0 - 6805.26.1.18.23 |
10/28/2022",FSIS12216316,Tet,,Negative,,,,,,Monday,-76.2999535,40.7380319,2022-10-03,51.6,46.8,49.1,0.053,70.8,rain,0,0,29.3,8.2,9.5,1023.9,51.5,9.9,36.7,40,2022-10-02,56.1,51,54.4,0.201,80.6,rain,0,0,28.6,9.4,20.2,1019,84.9,9.4,30,48.5,2022-10-01,60.2,51.3,55.1,0.326,82.8,rain,0,0,27.3,10.1,29.4,1016.8,95.9,9,78.6,49.9,2022-09-30,60.5,43,51.5,0,72.3,,0,0,17.2,6.2,23,1025.5,11.1,9.9,122.8,42.5,1
3881,P7101,"Tyson Foods, Inc.",AR,HC_CH_CARC01,"HACCP Verification for
Young Chicken Carcasses",103054829,2022-10-03 00:00:00,"Animal-Chicken-Broiler / Young
Chicken Carcass Rinse",Negative,,,,,,,Negative,,,,,,Monday,-75.052747,39.526134,2022-10-03,52.2,46.7,48.5,1.228,88.3,rain,0,0,35.1,19.8,15.4,1019.8,99.7,7.8,28.1,45.2,2022-10-02,61.9,48.4,56.6,2.278,91.9,rain,0,0,38.9,23.2,33.9,1014.9,100,6.2,10.6,54.2,2022-10-01,65,57.1,60.9,0.874,93.3,rain,0,0,32.2,23.3,48.7,1013.1,100,7.6,24.6,58.9,2022-09-30,64.1,53.1,58,0.036,76.3,rain,0,0,28,15.5,41.1,1022.9,43.2,9.9,34.8,50.4,1
